path,dir,name,size,dword0,container_class,is_pol_dup,dup_identical,table_entry_count,model_count,tex_ref_count,tex_max_id,tex_referenced_bytes,tex_file_bytes,tex_delta_bytes,note
pol/colo_monitor.bin,pol,colo_monitor.bin,507,0x00000F80,compressed,,,,,,,,,,
pol/common.bin,pol,common.bin,575389,0x00143FC0,compressed,,,,,,,,,,
pol/curien.bin,pol,curien.bin,34229,0x0000EAA0,compressed,,,,,,,,,,
pol/dc_ctrl.bin,pol,dc_ctrl.bin,159414,0x0004BC00,compressed,,,,,,,,,,
pol/deka_musume.bin,pol,deka_musume.bin,27426,0x00009340,compressed,,,,,,,,,,
pol/deka_otoko.bin,pol,deka_otoko.bin,36442,0x0000DDC0,compressed,,,,,,,,,,
pol/dolam.bin,pol,dolam.bin,46421,0x00013A60,compressed,,,,,,,,,,
pol/door_1.bin,pol,door_1.bin,365518,0x000AEC80,compressed,,,,,,,,,,
pol/eff_1.bin,pol,eff_1.bin,38028,0x00024F80,compressed,,,,,,,,,,
pol/eff_2.bin,pol,eff_2.bin,61318,0x00028960,compressed,,,,,,,,,,
pol/eff_3.bin,pol,eff_3.bin,232,0x000003C0,compressed,,,,,,,,,,
pol/eff_4.bin,pol,eff_4.bin,3607,0x00002BA0,compressed,,,,,,,,,,
pol/eff_boss3.bin,pol,eff_boss3.bin,198996,0x0007EFE0,compressed,,,,,,,,,,
pol/eff_boss4.bin,pol,eff_boss4.bin,232,0x000003C0,compressed,,,,,,,,,,
pol/eff_boss5.bin,pol,eff_boss5.bin,311177,0x000AF700,compressed,,,,,,,,,,
pol/eff_boss6.bin,pol,eff_boss6.bin,145595,0x00082940,compressed,,,,,,,,,,
pol/eff_car.bin,pol,eff_car.bin,6220,0x00003340,compressed,,,,,,,,,,
pol/eff_colo.bin,pol,eff_colo.bin,12173,0x00007B80,compressed,,,,,,,,,,
pol/eff_dokan.bin,pol,eff_dokan.bin,130622,0x00040C00,compressed,,,,,,,,,,
pol/eff_funsui.bin,pol,eff_funsui.bin,300218,0x000B9EA0,compressed,,,,,,,,,,
pol/eff_funsui2.bin,pol,eff_funsui2.bin,658,0x00001FA0,compressed,,,,,,,,,,
pol/eff_izumi.bin,pol,eff_izumi.bin,4204,0x0000D6A0,compressed,,,,,,,,,,
pol/eff_org.bin,pol,eff_org.bin,270,0x00000E20,compressed,,,,,,,,,,
pol/eff_org10.bin,pol,eff_org10.bin,8377,0x00005B40,compressed,,,,,,,,,,
pol/eff_org11.bin,pol,eff_org11.bin,391,0x000019E0,compressed,,,,,,,,,,
pol/eff_org12.bin,pol,eff_org12.bin,678,0x000019E0,compressed,,,,,,,,,,
pol/eff_org2.bin,pol,eff_org2.bin,13860,0x00006CE0,compressed,,,,,,,,,,
pol/eff_org3.bin,pol,eff_org3.bin,13999,0x0000A180,compressed,,,,,,,,,,
pol/eff_org4.bin,pol,eff_org4.bin,518,0x00002680,compressed,,,,,,,,,,
pol/eff_org5.bin,pol,eff_org5.bin,519,0x00002680,compressed,,,,,,,,,,
pol/eff_org5b.bin,pol,eff_org5b.bin,389,0x000019E0,compressed,,,,,,,,,,
pol/eff_org6.bin,pol,eff_org6.bin,18433,0x0000BD60,compressed,,,,,,,,,,
pol/eff_org7.bin,pol,eff_org7.bin,3963,0x00003C60,compressed,,,,,,,,,,
pol/eff_org8.bin,pol,eff_org8.bin,4981,0x00003E60,compressed,,,,,,,,,,
pol/eff_org9.bin,pol,eff_org9.bin,63138,0x00023C40,compressed,,,,,,,,,,
pol/eff_shop.bin,pol,eff_shop.bin,44151,0x0001D820,compressed,,,,,,,,,,
pol/eff_taki.bin,pol,eff_taki.bin,10772,0x0000D7C0,compressed,,,,,,,,,,
pol/etc_1.bin,pol,etc_1.bin,270336,0x00000800,raw_table,,,137,68,60,59,559872,641024,81152,
pol/etc_1_01.bin,pol,etc_1_01.bin,8192,0x00000800,raw_table,,,5,2,5,4,89088,92160,3072,
pol/etc_1_02.bin,pol,etc_1_02.bin,6144,0x00000800,raw_table,,,3,1,3,2,25600,40960,15360,
pol/etc_1_03.bin,pol,etc_1_03.bin,10240,0x00000800,raw_table,,,7,3,6,5,131072,131072,0,
pol/etc_1_04.bin,pol,etc_1_04.bin,14336,0x00000800,raw_table,,,5,2,6,5,20224,28672,8448,
pol/etc_1_05.bin,pol,etc_1_05.bin,69632,0x00000800,raw_table,,,3,1,13,12,185344,188416,3072,
pol/etc_1_06.bin,pol,etc_1_06.bin,4096,0x00000800,raw_table,,,3,1,,,,,,
pol/etc_1_07.bin,pol,etc_1_07.bin,4096,0x00000800,raw_table,,,3,1,,,,,,
pol/etc_1_08.bin,pol,etc_1_08.bin,4096,0x00000800,raw_table,,,3,1,,,,,,
pol/etc_1_09.bin,pol,etc_1_09.bin,4096,0x00000800,raw_table,,,3,1,,,,,,
pol/etc_2.bin,pol,etc_2.bin,118784,0x00000800,raw_table,,,39,19,28,27,615424,659456,44032,
pol/etc_boy_kao.bin,pol,etc_boy_kao.bin,14336,0x00000800,raw_table,,,7,3,4,3,26624,26624,0,
pol/etc_door.bin,pol,etc_door.bin,28672,0x00000800,raw_table,,,21,10,8,7,70656,98304,27648,
pol/etc_gal_kao.bin,pol,etc_gal_kao.bin,26624,0x00000800,raw_table,,,9,4,5,4,24576,30720,6144,
pol/etc_komono_baba.bin,pol,etc_komono_baba.bin,14336,0x00000800,raw_table,,,5,2,3,2,36864,36864,0,
pol/etc_komono_boy.bin,pol,etc_komono_boy.bin,12288,0x00000800,raw_table,,,7,3,5,4,39936,43008,3072,
pol/etc_komono_buru.bin,pol,etc_komono_buru.bin,6144,0x00000800,raw_table,,,5,2,3,2,20480,20480,0,
pol/etc_komono_fem.bin,pol,etc_komono_fem.bin,6144,0x00000800,raw_table,,,5,2,3,2,20480,20480,0,
pol/etc_komono_gal.bin,pol,etc_komono_gal.bin,55296,0x00000800,raw_table,,,25,12,12,11,77824,88064,10240,
pol/etc_komono_garl.bin,pol,etc_komono_garl.bin,18432,0x00000800,raw_table,,,5,2,6,5,36864,43008,6144,
pol/etc_komono_man.bin,pol,etc_komono_man.bin,24576,0x00000800,raw_table,,,11,5,9,8,100352,106496,6144,
pol/etc_komono_mario.bin,pol,etc_komono_mario.bin,22528,0x00000800,raw_table,,,17,8,8,7,57344,57344,0,
pol/etc_komono_oyaji.bin,pol,etc_komono_oyaji.bin,32768,0x00000800,raw_table,,,21,10,11,10,78336,86016,7680,
pol/etc_man_kao.bin,pol,etc_man_kao.bin,45056,0x00000800,raw_table,,,15,7,8,7,54272,57344,3072,
pol/etc_oyaji_kao.bin,pol,etc_oyaji_kao.bin,18432,0x00000800,raw_table,,,9,4,9,8,67584,67584,0,
pol/fish.bin,pol,fish.bin,213817,0x00064500,compressed,,,,,,,,,,
pol/frog.bin,pol,frog.bin,103086,0x000345C0,compressed,,,,,,,,,,
pol/frog_gold.bin,pol,frog_gold.bin,11663,0x00004580,compressed,,,,,,,,,,
pol/gameover_player.bin,pol,gameover_player.bin,98564,0x00022B80,compressed,,,,,,,,,,
pol/gameover_route.bin,pol,gameover_route.bin,220,0x00000320,compressed,,,,,,,,,,
pol/garasu.bin,pol,garasu.bin,16274,0x0000ED40,compressed,,,,,,,,,,
pol/harold.bin,pol,harold.bin,147936,0x00057260,compressed,,,,,,,,,,
pol/hito_baba.bin,pol,hito_baba.bin,56891,0x00014480,compressed,,,,,,,,,,
pol/hito_babann.bin,pol,hito_babann.bin,24756,0x00008E00,compressed,,,,,,,,,,
pol/hito_boyaa.bin,pol,hito_boyaa.bin,24163,0x00008E20,compressed,,,,,,,,,,
pol/hito_buru.bin,pol,hito_buru.bin,33281,0x0000B420,compressed,,,,,,,,,,
pol/hito_fem.bin,pol,hito_fem.bin,36533,0x0000CC00,compressed,,,,,,,,,,
pol/hito_gal.bin,pol,hito_gal.bin,25131,0x000093A0,compressed,,,,,,,,,,
pol/hito_gal2.bin,pol,hito_gal2.bin,26363,0x000096E0,compressed,,,,,,,,,,
pol/hito_gal3.bin,pol,hito_gal3.bin,25669,0x000091C0,compressed,,,,,,,,,,
pol/hito_galaa.bin,pol,hito_galaa.bin,25893,0x00008FE0,compressed,,,,,,,,,,
pol/hito_galjk.bin,pol,hito_galjk.bin,28209,0x0000A1A0,compressed,,,,,,,,,,
pol/hito_galjkaa.bin,pol,hito_galjkaa.bin,30529,0x0000A920,compressed,,,,,,,,,,
pol/hito_garl.bin,pol,hito_garl.bin,25615,0x00009540,compressed,,,,,,,,,,
pol/hito_garl2.bin,pol,hito_garl2.bin,25861,0x00009700,compressed,,,,,,,,,,
pol/hito_kao_baba.bin,pol,hito_kao_baba.bin,224788,0x00046220,compressed,,,,,,,,,,
pol/hito_kao_boy.bin,pol,hito_kao_boy.bin,71177,0x00031580,compressed,,,,,,,,,,
pol/hito_kao_gal.bin,pol,hito_kao_gal.bin,115118,0x00060B00,compressed,,,,,,,,,,
pol/hito_kao_garl.bin,pol,hito_kao_garl.bin,31891,0x00018BC0,compressed,,,,,,,,,,
pol/hito_kao_man.bin,pol,hito_kao_man.bin,144480,0x00061EE0,compressed,,,,,,,,,,
